id,location,area,treeid,name,pt0,pt1,pt2,pt3,pt4,ripeness,image,timestamp
1,P003,4.5,A001,,"5.295105, 103.155122","5.295105, 103.1551446","5.295082517, 103.155122","5.295105, 103.1550994","5.295127483, 103.155122",unripe,,2024-07-12T07:08:50
2,P004,4.5,A004,,"5.295186, 103.15513","5.295186, 103.1551526","5.295163517, 103.15513","5.295186, 103.1551074","5.295208483, 103.15513",ripe,,2024-07-20T20:18:52
3,P003,4,A002,,"5.295266, 103.155145","5.295266, 103.1551676","5.295243517, 103.155145","5.295266, 103.1551224","5.295288483, 103.155145",ripe,,2024-08-08T19:56:31
4,P002,5.5,A003,,"5.295348, 103.155157","5.295348, 103.1551796","5.295325517, 103.155157","5.295348, 103.1551344","5.295370483, 103.155157",unripe,,2024-08-13T01:46:19
5,P001,3,A002,,"5.295428, 103.155174","5.295428, 103.1551966","5.295405517, 103.155174","5.295428, 103.1551514","5.295450483, 103.155174",unripe,,2024-08-29T12:12:03
6,P003,3,A004,,"5.295511, 103.15519","5.295511, 103.1552126","5.295488517, 103.15519","5.295511, 103.1551674","5.295533483, 103.15519",unripe,,2024-09-14T14:15:35
7,P003,5.5,A002,,"5.295592, 103.155207","5.295592, 103.1552296","5.295569517, 103.155207","5.295592, 103.1551844","5.295614483, 103.155207",ripe,,2024-09-19T20:41:40
8,P001,4,A004,,"5.295669, 103.155224","5.295669, 103.1552466","5.295646517, 103.155224","5.295669, 103.1552014","5.295691483, 103.155224",unripe,,2024-10-10T05:09:41
9,P004,10,A001,,"5.295749, 103.155245","5.295749, 103.1552676","5.295726517, 103.155245","5.295749, 103.1552224","5.295771483, 103.155245",ripe,,2024-11-02T17:13:33
10,P004,4,A002,,"5.295826, 103.155272","5.295826, 103.1552946","5.295803517, 103.155272","5.295826, 103.1552494","5.295848483, 103.155272",unripe,,2024-11-18T21:05:39
